Pre-2012 Statistics of U.S. Businesses comma-delimited files

FIPS    FIPS
State   County  State Name		 County Name
01      001     Alabama                  Autauga
01      003     Alabama                  Baldwin
01      005     Alabama                  Barbour
01      007     Alabama                  Bibb
01      009     Alabama                  Blount
01      011     Alabama                  Bullock
01      013     Alabama                  Butler
01      015     Alabama                  Calhoun
01      017     Alabama                  Chambers
01      019     Alabama                  Cherokee
01      021     Alabama                  Chilton
01      023     Alabama                  Choctaw
01      025     Alabama                  Clarke
01      027     Alabama                  Clay
01      029     Alabama                  Cleburne
01      031     Alabama                  Coffee
01      033     Alabama                  Colbert
01      035     Alabama                  Conecuh
01      037     Alabama                  Coosa
01      039     Alabama                  Covington
01      041     Alabama                  Crenshaw
01      043     Alabama                  Cullman
01      045     Alabama                  Dale
01      047     Alabama                  Dallas
01      049     Alabama                  DeKalb
01      051     Alabama                  Elmore
01      053     Alabama                  Escambia
01      055     Alabama                  Etowah
01      057     Alabama                  Fayette
01      059     Alabama                  Franklin
01      061     Alabama                  Geneva
01      063     Alabama                  Greene
01      065     Alabama                  Hale
01      067     Alabama                  Henry
01      069     Alabama                  Houston
01      071     Alabama                  Jackson
01      073     Alabama                  Jefferson
01      075     Alabama                  Lamar
01      077     Alabama                  Lauderdale
01      079     Alabama                  Lawrence
01      081     Alabama                  Lee
01      083     Alabama                  Limestone
01      085     Alabama                  Lowndes
01      087     Alabama                  Macon
01      089     Alabama                  Madison
01      091     Alabama                  Marengo
01      093     Alabama                  Marion
01      095     Alabama                  Marshall
01      097     Alabama                  Mobile
01      099     Alabama                  Monroe
01      101     Alabama                  Montgomery
01      103     Alabama                  Morgan
01      105     Alabama                  Perry
01      107     Alabama                  Pickens
01      109     Alabama                  Pike
01      111     Alabama                  Randolph
01      113     Alabama                  Russell
01      115     Alabama                  St. Clair
01      117     Alabama                  Shelby
01      119     Alabama                  Sumter
01      121     Alabama                  Talladega
01      123     Alabama                  Tallapoosa
01      125     Alabama                  Tuscaloosa
01      127     Alabama                  Walker
01      129     Alabama                  Washington
01      131     Alabama                  Wilcox
01      133     Alabama                  Winston
01      999     Alabama                  Statewide Alabama
02      013     Alaska                   Aleutians East Borough
02      016     Alaska                   Aleutians West Census Area
02      020     Alaska                   Anchorage Municipality
02      050     Alaska                   Bethel Census Area
02      060     Alaska                   Bristol Bay Borough
02      068     Alaska                   Denali Borough
02      070     Alaska                   Dillingham Census Area
02      090     Alaska                   Fairbanks North Star Borough
02      100     Alaska                   Haines Borough
02      110     Alaska                   Juneau City and Borough
02      122     Alaska                   Kenai Peninsula Borough
02      130     Alaska                   Ketchikan Gateway Borough
02      150     Alaska                   Kodiak Island Borough
02      164     Alaska                   Lake and Peninsula Borough
02      170     Alaska                   Matanuska-Susitna Borough
